initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"466 African American individuals"	NA	"FALSE"	"14870897"	"TRUE"	NA	"GCST90234466"	"TRUE"	NA	"Pancreatic triacylglycerol lipase level in Chronic kidney disease with hypertension and no diabetes (15613_16)"	"NA"	"35870639"	"2022-07-21"	"Kidney Int"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	NA	"AASK"	"Infinium MEG BEADChip, Illumina"	"OBA_2042948"	"level of pancreatic triacylglycerol lipase in blood serum"	"GCST90234466"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	"Surapaneni A"	"35870639"	"Pancreatic triacylglycerol lipase level in Chronic kidney disease with hypertension and no diabetes (15613_16)"	"466 African American individuals"	NA	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension. | Pancreatic triacylglycerol lipase level in Chronic kidney disease with hypertension and no diabetes (15613_16) | level of pancreatic triacylglycerol lipase in blood serum | Surapaneni A | 466 African American individuals | "	0	2	0	0	2	TRUE
"466 African American individuals"	NA	"FALSE"	"14870897"	"TRUE"	NA	"GCST90237693"	"TRUE"	NA	"Pancreatic hormone level in Chronic kidney disease with hypertension and no diabetes (4588_1)"	"NA"	"35870639"	"2022-07-21"	"Kidney Int"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	NA	"AASK"	"Infinium MEG BEADChip, Illumina"	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90237693"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	"Surapaneni A"	"35870639"	"Pancreatic hormone level in Chronic kidney disease with hypertension and no diabetes (4588_1)"	"466 African American individuals"	NA	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension. | Pancreatic hormone level in Chronic kidney disease with hypertension and no diabetes (4588_1) | pancreatic hormone measurement | Surapaneni A | 466 African American individuals | "	0	2	0	0	2	TRUE
"466 African American individuals"	NA	"FALSE"	"14870897"	"TRUE"	NA	"GCST90238420"	"TRUE"	NA	"Pancreatic lipase-related protein 2 level in Chronic kidney disease with hypertension and no diabetes (6957_14)"	"NA"	"35870639"	"2022-07-21"	"Kidney Int"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	NA	"AASK"	"Infinium MEG BEADChip, Illumina"	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90238420"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	"Surapaneni A"	"35870639"	"Pancreatic lipase-related protein 2 level in Chronic kidney disease with hypertension and no diabetes (6957_14)"	"466 African American individuals"	NA	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension. | Pancreatic lipase-related protein 2 level in Chronic kidney disease with hypertension and no diabetes (6957_14) | level of pancreatic lipase-related protein 2 in blood serum | Surapaneni A | 466 African American individuals | "	0	2	0	0	2	TRUE
"466 African American individuals"	NA	"FALSE"	"14870897"	"TRUE"	NA	"GCST90238549"	"TRUE"	NA	"Ribonuclease pancreatic level in Chronic kidney disease with hypertension and no diabetes (7211_2)"	"NA"	"35870639"	"2022-07-21"	"Kidney Int"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	NA	"AASK"	"Infinium MEG BEADChip, Illumina"	"OBA_2043280"	"level of ribonuclease pancreatic in blood serum"	"GCST90238549"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	"Surapaneni A"	"35870639"	"Ribonuclease pancreatic level in Chronic kidney disease with hypertension and no diabetes (7211_2)"	"466 African American individuals"	NA	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension. | Ribonuclease pancreatic level in Chronic kidney disease with hypertension and no diabetes (7211_2) | level of ribonuclease pancreatic in blood serum | Surapaneni A | 466 African American individuals | "	0	2	0	0	2	TRUE
"466 African American individuals"	NA	"FALSE"	"14870897"	"TRUE"	NA	"GCST90239405"	"TRUE"	NA	"Motor neuron and pancreas homeobox protein 1 level in Chronic kidney disease with hypertension and no diabetes (9576_58)"	"NA"	"35870639"	"2022-07-21"	"Kidney Int"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	NA	"AASK"	"Infinium MEG BEADChip, Illumina"	"OBA_2042393"	"level of motor neuron and pancreas homeobox protein 1 in blood serum"	"GCST90239405"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	"Surapaneni A"	"35870639"	"Motor neuron and pancreas homeobox protein 1 level in Chronic kidney disease with hypertension and no diabetes (9576_58)"	"466 African American individuals"	NA	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension. | Motor neuron and pancreas homeobox protein 1 level in Chronic kidney disease with hypertension and no diabetes (9576_58) | level of motor neuron and pancreas homeobox protein 1 in blood serum | Surapaneni A | 466 African American individuals | "	0	2	0	0	2	TRUE
"180 Chinese ancestry cases, 75,719 Chinese ancestry controls"	"FALSE"	"FALSE"	"7341267"	"TRUE"	"FALSE"	"GCST90246156"	"TRUE"	NA	"ICD10 K86: Other diseases of pancreas"	"NA"	"37601966"	"2023-07-20"	"Cell Genom"	"Genotyping and population characteristics of the China Kadoorie Biobank. "	NA	"CKB"	"Axiom custom arrays"	"EFO_0009605"	"pancreas disease"	"GCST90246156"	"Genotyping and population characteristics of the China Kadoorie Biobank. "	"Walters RG"	"37601966"	"ICD10 K86: Other diseases of pancreas"	"180 Chinese ancestry cases, 75,719 Chinese ancestry controls"	NA	"Genotyping and population characteristics of the China Kadoorie Biobank.  | ICD10 K86: Other diseases of pancreas | pancreas disease | Walters RG | 180 Chinese ancestry cases, 75,719 Chinese ancestry controls | "	0	2	0	0	2	TRUE
"2,690 British ancestry cases, 406,271 British ancestry controls"	"FALSE"	"FALSE"	"28000000"	"TRUE"	"FALSE"	"GCST90436394"	"TRUE"	NA	"Diseases of pancreas (PheCode 577)"	"NA"	"30104761"	"2018-08-13"	"Nat Genet"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90436394"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	"Zhou W"	"30104761"	"Diseases of pancreas (PheCode 577)"	"2,690 British ancestry cases, 406,271 British ancestry controls"	NA	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies. | Diseases of pancreas (PheCode 577) | pancreas disease | Zhou W | 2,690 British ancestry cases, 406,271 British ancestry controls | "	0	2	0	0	2	TRUE
"200 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90436970"	"TRUE"	NA	"Pancreatic triacylglycerol lipase protein levels (SomaScan ID:22068-5)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"OBA_2042948"	"level of pancreatic triacylglycerol lipase in blood serum"	"GCST90436970"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Pancreatic triacylglycerol lipase protein levels (SomaScan ID:22068-5)"	"200 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Pancreatic triacylglycerol lipase protein levels (SomaScan ID:22068-5) | level of pancreatic triacylglycerol lipase in blood serum | Kuliesius J | 200 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
"200 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90439192"	"TRUE"	NA	"Inactive pancreatic lipase-related protein 1 protein levels (SomaScan ID:17450-51)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"GCST90439192"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Inactive pancreatic lipase-related protein 1 protein levels (SomaScan ID:17450-51)"	"200 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Inactive pancreatic lipase-related protein 1 protein levels (SomaScan ID:17450-51) | inactive pancreatic lipase-related protein 1 measurement | Kuliesius J | 200 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
"198 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90439281"	"TRUE"	NA	"Ribonuclease pancreatic protein levels (SomaScan ID:11476-43)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"EFO_0802019"	"ribonuclease pancreatic measurement"	"GCST90439281"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Ribonuclease pancreatic protein levels (SomaScan ID:11476-43)"	"198 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Ribonuclease pancreatic protein levels (SomaScan ID:11476-43) | ribonuclease pancreatic measurement | Kuliesius J | 198 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
"191 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90439752"	"TRUE"	NA	"Serine protease inhibitor Kazal-type 1 protein levels (SomaScan ID:6653-58)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"EFO_0020956"	"pancreatic secretory trypsin inhibitor protein measurement"	"GCST90439752"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Serine protease inhibitor Kazal-type 1 protein levels (SomaScan ID:6653-58)"	"191 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Serine protease inhibitor Kazal-type 1 protein levels (SomaScan ID:6653-58) | pancreatic secretory trypsin inhibitor protein measurement | Kuliesius J | 191 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
"200 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90442664"	"TRUE"	NA	"Pancreatic lipase-related protein 2 protein levels (SomaScan ID:25037-4)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90442664"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Pancreatic lipase-related protein 2 protein levels (SomaScan ID:25037-4)"	"200 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Pancreatic lipase-related protein 2 protein levels (SomaScan ID:25037-4) | level of pancreatic lipase-related protein 2 in blood serum | Kuliesius J | 200 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
"196 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90442757"	"TRUE"	NA	"Motor neuron and pancreas homeobox protein 1 protein levels (SomaScan ID:23702-98)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"OBA_2042393"	"level of motor neuron and pancreas homeobox protein 1 in blood serum"	"GCST90442757"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Motor neuron and pancreas homeobox protein 1 protein levels (SomaScan ID:23702-98)"	"196 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Motor neuron and pancreas homeobox protein 1 protein levels (SomaScan ID:23702-98) | level of motor neuron and pancreas homeobox protein 1 in blood serum | Kuliesius J | 196 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
"199 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90443664"	"TRUE"	NA	"Pancreatic lipase-related protein 2 protein levels (SomaScan ID:15491-20)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90443664"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Pancreatic lipase-related protein 2 protein levels (SomaScan ID:15491-20)"	"199 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Pancreatic lipase-related protein 2 protein levels (SomaScan ID:15491-20) | level of pancreatic lipase-related protein 2 in blood serum | Kuliesius J | 199 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
"198 Shetland Isles origin ancestry individuals"	"FALSE"	"FALSE"	"14249300"	"TRUE"	"FALSE"	"GCST90443955"	"TRUE"	NA	"Pancreatic hormone protein levels (SomaScan ID:5594-87)"	"NA"	"40883583"	"2025-08-29"	"Commun Biol"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	NA	"VIKING"	"HumanOmniExpressExome8 v1-2_A (Illumina), Beadstudio-Gencall v3.0"	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90443955"	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort."	"Kuliesius J"	"40883583"	"Pancreatic hormone protein levels (SomaScan ID:5594-87)"	"198 Shetland Isles origin ancestry individuals"	NA	"Efficient candidate drug target discovery through proteogenomics in a Scottish cohort. | Pancreatic hormone protein levels (SomaScan ID:5594-87) | pancreatic hormone measurement | Kuliesius J | 198 Shetland Isles origin ancestry individuals | "	0	2	0	0	2	TRUE
